Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1957-01-01,1957,JAN,DJF 1957,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.090,-2.18,NAN,0.6
1957-02-01,1957,FEB,JFM 1957,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.260,-1.89,NAN,-0.1
1957-03-01,1957,MAR,FMA 1957,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.651,0.78,NAN,0.2
1957-04-01,1957,APR,MAM 1957,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.410,-0.41,NAN,0.2
1957-05-01,1957,MAY,AMJ 1957,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.734,1.24,NAN,-0.7
1957-06-01,1957,JUN,MJJ 1957,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.620,0.24,NAN,0.2
1957-07-01,1957,JUL,JJA 1957,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.606,-0.11,NAN,0.2
1957-08-01,1957,AUG,JAS 1957,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.414,-0.99,NAN,-0.5
1957-09-01,1957,SEP,ASO 1957,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.985,-0.22,NAN,-0.9
1957-10-01,1957,OCT,SON 1957,1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.631,0.46,NAN,0.0
1957-11-01,1957,NOV,OND 1957,1.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.137,0.49,NAN,-1.0
1957-12-01,1957,DEC,NDJ 1957,1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.270,-0.73,NAN,-0.3
1958-01-01,1958,JAN,DJF 1958,1.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.639,0.62,NAN,-1.9
1958-02-01,1958,FEB,JFM 1958,1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.523,0.36,NAN,-0.5
1958-03-01,1958,MAR,FMA 1958,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.566,0.18,NAN,0.3
1958-04-01,1958,APR,MAM 1958,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.258,0.31,NAN,0.4
1958-05-01,1958,MAY,AMJ 1958,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.005,0.66,NAN,-0.5
1958-06-01,1958,JUN,MJJ 1958,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.042,1.48,NAN,0.3
1958-07-01,1958,JUL,JJA 1958,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.231,0.74,NAN,0.4
1958-08-01,1958,AUG,JAS 1958,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.244,2.13,NAN,0.9
1958-09-01,1958,SEP,ASO 1958,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.337,-0.05,NAN,-0.3
1958-10-01,1958,OCT,SON 1958,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.593,0.34,NAN,0.1
1958-11-01,1958,NOV,OND 1958,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.503,0.08,NAN,-0.4
1958-12-01,1958,DEC,NDJ 1958,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.599,0.35,NAN,-0.6
1959-01-01,1959,JAN,DJF 1959,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.468,-1.54,NAN,-0.9
1959-02-01,1959,FEB,JFM 1959,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.319,-1.23,NAN,-1.4
1959-03-01,1959,MAR,FMA 1959,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.130,0.21,NAN,1.3
1959-04-01,1959,APR,MAM 1959,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.102,-0.90,NAN,0.4
1959-05-01,1959,MAY,AMJ 1959,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.094,-0.30,NAN,0.5
1959-06-01,1959,JUN,MJJ 1959,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.246,1.08,NAN,-0.1
1959-07-01,1959,JUL,JJA 1959,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.387,-0.45,NAN,-0.3
1959-08-01,1959,AUG,JAS 1959,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.384,1.03,NAN,-0.1
1959-09-01,1959,SEP,ASO 1959,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.307,1.19,NAN,0.0
1959-10-01,1959,OCT,SON 1959,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.109,0.23,NAN,0.5
1959-11-01,1959,NOV,OND 1959,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.184,0.26,NAN,0.9
1959-12-01,1959,DEC,NDJ 1959,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.363,0.36,NAN,0.9
1960-01-01,1960,JAN,DJF 1960,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.438,-0.16,NAN,0.1
1960-02-01,1960,FEB,JFM 1960,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.095,-0.22,NAN,0.1
1960-03-01,1960,MAR,FMA 1960,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.051,-0.69,NAN,1.0
1960-04-01,1960,APR,MAM 1960,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.262,-0.07,NAN,0.8
1960-05-01,1960,MAY,AMJ 1960,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.521,0.99,NAN,0.5
1960-06-01,1960,JUN,MJJ 1960,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.602,1.20,NAN,0.1
1960-07-01,1960,JUL,JJA 1960,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.409,1.11,NAN,0.5
1960-08-01,1960,AUG,JAS 1960,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.493,1.85,NAN,0.8
1960-09-01,1960,SEP,ASO 1960,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.487,-0.01,NAN,0.7
1960-10-01,1960,OCT,SON 1960,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.507,0.48,NAN,0.1
1960-11-01,1960,NOV,OND 1960,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.357,-0.52,NAN,0.5
1960-12-01,1960,DEC,NDJ 1960,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.076,1.15,NAN,0.8
1961-01-01,1961,JAN,DJF 1961,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.146,1.16,NAN,-0.3
1961-02-01,1961,FEB,JFM 1961,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.325,0.17,NAN,0.9
1961-03-01,1961,MAR,FMA 1961,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.468,0.28,NAN,-1.8
1961-04-01,1961,APR,MAM 1961,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.230,-1.14,NAN,0.8
1961-05-01,1961,MAY,AMJ 1961,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.237,-0.25,NAN,0.3
1961-06-01,1961,JUN,MJJ 1961,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.396,1.84,NAN,0.1
1961-07-01,1961,JUL,JJA 1961,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.583,-0.52,NAN,0.2
1961-08-01,1961,AUG,JAS 1961,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.489,0.47,NAN,0.2
1961-09-01,1961,SEP,ASO 1961,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.312,1.10,NAN,0.1
1961-10-01,1961,OCT,SON 1961,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.059,-1.94,NAN,-0.3
1961-11-01,1961,NOV,OND 1961,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.371,-0.40,NAN,0.5
1961-12-01,1961,DEC,NDJ 1961,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.618,-1.54,NAN,1.5
1962-01-01,1962,JAN,DJF 1962,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.329,-0.74,NAN,2.0
1962-02-01,1962,FEB,JFM 1962,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.102,-0.54,NAN,-0.3
1962-03-01,1962,MAR,FMA 1962,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.282,-0.71,NAN,0.1
1962-04-01,1962,APR,MAM 1962,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.710,-1.50,NAN,0.2
1962-05-01,1962,MAY,AMJ 1962,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.999,-1.11,NAN,1.1
1962-06-01,1962,JUN,MJJ 1962,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.853,-0.97,NAN,0.7
1962-07-01,1962,JUL,JJA 1962,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.498,-0.36,NAN,0.1
1962-08-01,1962,AUG,JAS 1962,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.610,0.57,NAN,0.6
1962-09-01,1962,SEP,ASO 1962,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.537,-0.83,NAN,0.4
1962-10-01,1962,OCT,SON 1962,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.482,1.33,NAN,1.0
1962-11-01,1962,NOV,OND 1962,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.321,0.53,NAN,0.3
1962-12-01,1962,DEC,NDJ 1962,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.306,-0.38,NAN,0.2
1963-01-01,1963,JAN,DJF 1963,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.127,0.09,NAN,1.0
1963-02-01,1963,FEB,JFM 1963,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.111,0.79,NAN,0.6
1963-03-01,1963,MAR,FMA 1963,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.063,-2.04,NAN,1.1
