Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1979-08-01,1979,AUG,JAS 1979,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.2,0.462,0.67,NAN,-0.2
1979-09-01,1979,SEP,ASO 1979,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.1,0.302,1.02,NAN,0.1
1979-10-01,1979,OCT,SON 1979,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.7,0.007,1.85,NAN,-0.1
1979-11-01,1979,NOV,OND 1979,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.5,-0.285,0.51,NAN,-0.4
1979-12-01,1979,DEC,NDJ 1979,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.5,-0.758,-0.68,NAN,-0.7
1980-01-01,1980,JAN,DJF 1980,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.6,-1.073,-1.01,NAN,0.4
1980-02-01,1980,FEB,JFM 1980,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.4,-1.201,2.03,NAN,0.3
1980-03-01,1980,MAR,FMA 1980,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.1,-1.039,-0.64,NAN,-0.4
1980-04-01,1980,APR,MAM 1980,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.0,-0.996,1.66,NAN,-0.6
1980-05-01,1980,MAY,AMJ 1980,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.2,-1.039,-0.16,NAN,0.0
1980-06-01,1980,JUN,MJJ 1980,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.7,-1.038,-0.81,NAN,0.0
1980-07-01,1980,JUL,JJA 1980,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.3,-1.018,-0.81,NAN,0.0
1980-08-01,1980,AUG,JAS 1980,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.9,-1.135,-2.03,NAN,0.4
1980-09-01,1980,SEP,ASO 1980,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.0,-1.284,-0.08,NAN,-0.5
1980-10-01,1980,OCT,SON 1980,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.3,-1.290,2.87,NAN,0.0
1980-11-01,1980,NOV,OND 1980,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.4,-1.393,1.28,NAN,-0.3
1980-12-01,1980,DEC,NDJ 1980,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.3,-1.425,-0.57,NAN,-0.1
1981-01-01,1981,JAN,DJF 1981,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.4,-1.350,2.46,6.62,0.4
1981-02-01,1981,FEB,JFM 1981,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.7,-1.094,0.21,1.76,-0.2
1981-03-01,1981,MAR,FMA 1981,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.9,-0.835,1.27,0.61,-1.3
1981-04-01,1981,APR,MAM 1981,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.9,-0.558,-1.23,0.56,-0.1
1981-05-01,1981,MAY,AMJ 1981,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.5,-0.496,1.83,1.57,0.8
1981-06-01,1981,JUN,MJJ 1981,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.4,-0.464,-0.10,3.07,1.2
1981-07-01,1981,JUL,JJA 1981,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.1,-0.533,-1.02,1.95,0.8
1981-08-01,1981,AUG,JAS 1981,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.9,-0.605,-1.54,1.47,0.7
1981-09-01,1981,SEP,ASO 1981,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.0,-0.708,0.08,3.44,0.3
1981-10-01,1981,OCT,SON 1981,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.2,-0.617,-1.43,2.69,-0.4
1981-11-01,1981,NOV,OND 1981,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.3,-0.621,1.19,2.93,0.2
1981-12-01,1981,DEC,NDJ 1981,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.2,-0.708,-0.42,4.30,0.5
1982-01-01,1982,JAN,DJF 1982,-0.1,24.28,-0.24,25.84,0.17,26.65,0.08,28.01,-0.21,0.9,-1.067,-1.75,5.66,1.2
1982-02-01,1982,FEB,JFM 1982,0.1,25.38,-0.72,26.26,-0.11,26.54,-0.20,27.99,-0.11,0.1,-1.466,-1.20,5.50,0.3
1982-03-01,1982,MAR,FMA 1982,0.2,25.22,-1.38,26.92,-0.25,27.09,-0.14,28.18,-0.05,-0.6,-1.922,-1.66,0.44,0.6
1982-04-01,1982,APR,MAM 1982,0.5,24.57,-1.16,27.52,-0.05,27.83,0.02,28.61,0.10,0.0,-2.359,-2.08,0.28,0.1
1982-05-01,1982,MAY,AMJ 1982,0.7,24.00,-0.62,27.70,0.49,28.37,0.49,29.19,0.40,0.4,-2.364,-0.53,2.51,-0.3
1982-06-01,1982,JUN,MJJ 1982,0.7,22.88,-0.29,27.10,0.46,28.35,0.65,29.46,0.62,-0.2,-1.924,2.17,6.80,-1.0
1982-07-01,1982,JUL,JJA 1982,0.8,22.07,0.24,26.14,0.27,27.57,0.27,28.76,-0.02,-1.2,-1.418,0.49,1.48,-1.5
1982-08-01,1982,AUG,JAS 1982,1.1,21.71,0.85,26.05,0.83,27.76,0.86,28.70,0.01,-1.6,-0.811,0.31,3.43,-1.7
1982-09-01,1982,SEP,ASO 1982,1.6,21.91,1.33,26.50,1.49,28.01,1.24,28.91,0.24,-1.4,0.196,0.83,1.78,-1.7
1982-10-01,1982,OCT,SON 1982,2.0,22.67,1.80,27.04,1.96,28.50,1.73,29.11,0.43,-1.8,0.981,-0.86,1.38,-1.7
1982-11-01,1982,NOV,OND 1982,2.2,24.40,2.78,27.39,2.19,28.50,1.68,28.85,0.18,-2.0,1.440,-0.47,0.96,-2.6
1982-12-01,1982,DEC,NDJ 1982,2.2,25.73,2.89,28.07,2.80,28.85,2.21,28.81,0.36,-0.9,1.683,0.45,0.68,-2.2
1983-01-01,1983,JAN,DJF 1983,2.2,26.82,2.30,28.37,2.69,28.70,2.13,28.63,0.41,-1.5,1.822,0.87,0.28,-3.5
1983-02-01,1983,FEB,JFM 1983,1.9,27.65,1.55,28.39,2.01,28.54,1.81,28.51,0.41,-0.7,1.991,1.44,0.02,-3.6
1983-03-01,1983,MAR,FMA 1983,1.5,28.34,1.73,28.48,1.32,28.45,1.22,28.59,0.37,0.1,2.282,2.03,0.04,-2.4
1983-04-01,1983,APR,MAM 1983,1.3,28.10,2.37,28.76,1.19,28.49,0.68,28.49,-0.02,0.3,2.929,0.98,0.03,-0.9
1983-05-01,1983,MAY,AMJ 1983,1.1,27.87,3.26,28.64,1.43,28.56,0.68,28.97,0.18,-0.8,3.734,-0.08,0.25,0.6
1983-06-01,1983,JUN,MJJ 1983,0.7,27.20,4.03,28.09,1.45,28.16,0.45,28.78,-0.06,-0.9,4.227,2.10,3.10,0.0
1983-07-01,1983,JUL,JJA 1983,0.3,25.69,3.85,26.56,0.68,26.97,-0.33,28.46,-0.32,-1.0,4.143,0.82,4.99,-0.6
1983-08-01,1983,AUG,JAS 1983,-0.1,23.73,2.88,25.77,0.55,26.46,-0.44,28.20,-0.49,-0.1,3.867,0.50,4.59,0.1
1983-09-01,1983,SEP,ASO 1983,-0.5,22.16,1.58,25.21,0.20,26.38,-0.38,28.06,-0.62,-0.1,3.183,-1.37,6.70,0.9
1983-10-01,1983,OCT,SON 1983,-0.8,21.98,1.11,24.56,-0.52,25.75,-1.02,27.67,-1.02,0.3,2.462,0.26,5.73,0.4
1983-11-01,1983,NOV,OND 1983,-1.0,22.01,0.38,24.16,-1.03,25.53,-1.29,27.67,-1.01,0.2,1.814,1.75,3.16,-0.1
1983-12-01,1983,DEC,NDJ 1983,-0.9,22.95,0.11,24.39,-0.88,25.49,-1.16,27.48,-0.97,1.1,1.411,-0.61,2.17,0.0
1984-01-01,1984,JAN,DJF 1984,-0.6,24.35,-0.16,24.80,-0.87,25.60,-0.96,27.41,-0.81,1.7,1.080,0.60,2.31,0.2
1984-02-01,1984,FEB,JFM 1984,-0.4,25.23,-0.87,26.41,0.03,26.57,-0.16,27.26,-0.84,1.9,0.907,0.73,2.51,0.9
1984-03-01,1984,MAR,FMA 1984,-0.3,25.72,-0.88,26.88,-0.28,26.71,-0.52,27.32,-0.91,1.2,0.603,1.08,1.97,-0.2
1984-04-01,1984,APR,MAM 1984,-0.4,25.28,-0.45,27.28,-0.29,27.27,-0.54,27.54,-0.97,1.1,0.369,1.41,1.72,0.3
1984-05-01,1984,MAY,AMJ 1984,-0.5,23.44,-1.17,26.38,-0.84,27.19,-0.69,27.94,-0.85,0.7,0.148,0.37,2.66,0.2
1984-06-01,1984,JUN,MJJ 1984,-0.5,22.21,-0.97,25.36,-1.29,26.68,-1.03,28.04,-0.81,0.5,-0.183,-0.36,4.29,-0.3
1984-07-01,1984,JUL,JJA 1984,-0.3,21.15,-0.69,25.04,-0.83,26.62,-0.68,28.34,-0.45,0.1,-0.516,-2.61,0.65,0.2
1984-08-01,1984,AUG,JAS 1984,-0.2,20.28,-0.57,24.64,-0.58,26.36,-0.54,28.04,-0.65,0.2,-0.536,-1.14,2.52,0.4
1984-09-01,1984,SEP,ASO 1984,-0.2,20.20,-0.38,24.72,-0.29,26.35,-0.41,28.22,-0.45,0.3,-0.277,-0.02,0.59,0.1
1984-10-01,1984,OCT,SON 1984,-0.6,20.45,-0.43,24.18,-0.90,26.02,-0.75,28.02,-0.67,0.2,0.186,-0.53,4.93,-0.3
1984-11-01,1984,NOV,OND 1984,-0.9,21.42,-0.21,24.15,-1.05,25.52,-1.30,27.92,-0.75,-0.2,0.207,0.39,4.98,0.3
1984-12-01,1984,DEC,NDJ 1984,-1.1,22.62,-0.21,23.89,-1.37,25.16,-1.48,27.45,-1.00,0.1,0.255,-1.90,4.77,-0.1
1985-01-01,1985,JAN,DJF 1985,-1.0,23.59,-0.93,24.28,-1.39,25.26,-1.30,27.39,-0.83,0.2,0.366,1.44,5.20,-0.3
1985-02-01,1985,FEB,JFM 1985,-0.9,24.79,-1.30,25.24,-1.14,25.81,-0.92,27.53,-0.57,1.2,0.147,-0.99,0.80,1.2
1985-03-01,1985,MAR,FMA 1985,-0.8,25.66,-0.95,26.21,-0.96,26.35,-0.89,27.23,-0.99,-0.7,-0.506,-1.19,0.47,0.8
1985-04-01,1985,APR,MAM 1985,-0.8,24.30,-1.43,26.64,-0.94,26.71,-1.10,27.42,-1.09,0.8,-0.572,-1.27,1.14,1.2
1985-05-01,1985,MAY,AMJ 1985,-0.8,22.72,-1.89,25.99,-1.22,26.81,-1.08,27.71,-1.08,1.1,-0.762,-0.82,2.28,0.4
1985-06-01,1985,JUN,MJJ 1985,-0.6,21.83,-1.35,25.45,-1.19,26.63,-1.08,27.88,-0.96,0.5,-1.244,1.28,3.53,-0.4
1985-07-01,1985,JUL,JJA 1985,-0.5,20.46,-1.37,24.73,-1.14,26.50,-0.80,28.05,-0.74,0.3,-1.452,-0.19,4.75,-0.1
1985-08-01,1985,AUG,JAS 1985,-0.5,19.60,-1.26,24.24,-0.98,26.27,-0.63,28.09,-0.60,0.4,-1.337,-0.53,3.23,1.0
1985-09-01,1985,SEP,ASO 1985,-0.4,19.23,-1.35,24.04,-0.97,25.99,-0.77,28.08,-0.60,0.0,-1.499,-0.63,9.40,0.0
1985-10-01,1985,OCT,SON 1985,-0.4,19.76,-1.11,24.11,-0.98,26.03,-0.74,28.11,-0.57,0.2,-1.379,-1.50,6.62,-0.4
1985-11-01,1985,NOV,OND 1985,-0.3,20.83,-0.79,24.29,-0.91,26.23,-0.59,28.30,-0.37,-0.1,-0.950,-1.83,3.42,-0.2
1985-12-01,1985,DEC,NDJ 1985,-0.4,22.34,-0.50,24.39,-0.88,26.05,-0.59,28.10,-0.34,0.1,-0.623,1.08,3.86,0.2
1986-01-01,1986,JAN,DJF 1986,-0.5,24.50,-0.02,24.80,-0.87,25.84,-0.72,27.70,-0.52,0.2,-0.564,0.60,6.50,1.0
1986-02-01,1986,FEB,JFM 1986,-0.5,25.88,-0.22,25.80,-0.58,25.95,-0.78,27.73,-0.37,0.9,-0.458,0.41,0.64,-1.0
1986-03-01,1986,MAR,FMA 1986,-0.3,25.91,-0.69,26.74,-0.42,26.64,-0.60,27.94,-0.29,1.1,-0.515,0.51,1.20,0.5
1986-04-01,1986,APR,MAM 1986,-0.2,24.82,-0.91,27.04,-0.53,27.29,-0.52,27.83,-0.68,0.4,-0.968,-0.15,0.89,0.3
1986-05-01,1986,MAY,AMJ 1986,-0.1,23.34,-1.27,26.44,-0.77,27.32,-0.56,28.35,-0.44,0.4,-1.395,-0.03,2.04,-0.2
1986-06-01,1986,JUN,MJJ 1986,0.0,22.16,-1.02,26.15,-0.49,27.38,-0.33,28.60,-0.24,-0.2,-1.529,0.39,5.34,1.0
1986-07-01,1986,JUL,JJA 1986,0.2,21.22,-0.61,25.78,-0.09,27.26,-0.04,28.50,-0.29,-0.2,-1.727,-0.35,5.03,0.3
1986-08-01,1986,AUG,JAS 1986,0.4,20.72,-0.14,25.12,-0.10,27.09,0.19,28.68,-0.01,0.2,-1.860,-1.49,5.52,-0.4
1986-09-01,1986,SEP,ASO 1986,0.7,20.47,-0.11,25.30,0.29,27.16,0.40,28.83,0.15,-1.0,-1.769,-0.28,5.89,-0.5
1986-10-01,1986,OCT,SON 1986,0.9,21.00,0.12,25.43,0.34,27.28,0.51,28.91,0.23,-0.8,-1.689,1.18,9.43,0.6
1986-11-01,1986,NOV,OND 1986,1.1,21.62,-0.01,25.74,0.54,27.36,0.54,28.97,0.30,-1.5,-1.616,-0.71,8.99,-1.2
1986-12-01,1986,DEC,NDJ 1986,1.2,22.96,0.12,25.86,0.60,27.47,0.82,28.64,0.19,-2.4,-1.322,1.06,1.63,-1.4
1987-01-01,1987,JAN,DJF 1987,1.2,25.06,0.54,26.48,0.81,27.51,0.94,28.48,0.26,-2.3,-0.980,0.63,0.97,-0.7
1987-02-01,1987,FEB,JFM 1987,1.2,26.75,0.66,27.16,0.78,27.55,0.82,28.41,0.31,-2.3,-0.584,0.57,1.73,-1.2
1987-03-01,1987,MAR,FMA 1987,1.1,27.54,0.94,27.96,0.80,28.12,0.89,28.70,0.47,-1.3,-0.221,0.85,0.52,-1.3
1987-04-01,1987,APR,MAM 1987,1.0,26.60,0.87,28.14,0.57,28.25,0.45,28.77,0.26,-1.3,-0.192,1.54,0.08,-1.4
1987-05-01,1987,MAY,AMJ 1987,1.0,25.45,0.84,27.83,0.62,28.20,0.32,28.85,0.06,-1.9,-0.289,-1.02,0.75,-1.3
1987-06-01,1987,JUN,MJJ 1987,1.2,23.83,0.66,27.15,0.51,28.42,0.72,29.18,0.34,-1.2,-0.497,0.56,2.59,-1.1
1987-07-01,1987,JUL,JJA 1987,1.5,22.53,0.70,26.87,0.99,28.34,1.04,29.08,0.29,-2.2,-0.835,-0.43,6.65,-1.4
1987-08-01,1987,AUG,JAS 1987,1.7,21.58,0.72,26.28,1.06,28.10,1.20,29.04,0.35,-1.6,-1.008,0.74,5.65,-0.9
1987-09-01,1987,SEP,ASO 1987,1.7,21.29,0.71,26.38,1.37,28.08,1.32,29.01,0.33,-0.6,-1.191,-2.60,4.04,-1.0
1987-10-01,1987,OCT,SON 1987,1.5,22.17,1.29,25.96,0.88,27.74,0.97,29.31,0.63,-1.2,-1.283,0.75,5.03,-0.4
1987-11-01,1987,NOV,OND 1987,1.3,22.55,0.93,25.93,0.73,27.67,0.85,29.31,0.63,-0.7,-1.465,1.19,5.77,0.0
1987-12-01,1987,DEC,NDJ 1987,1.1,23.28,0.44,26.17,0.91,27.41,0.77,28.96,0.51,-1.3,-1.566,0.50,2.59,-0.5
1988-01-01,1988,JAN,DJF 1988,0.8,24.33,-0.19,26.20,0.53,27.23,0.67,28.72,0.50,-0.9,-1.718,0.03,0.69,-0.1
1988-02-01,1988,FEB,JFM 1988,0.5,25.68,-0.42,26.35,-0.03,26.95,0.22,28.40,0.31,-0.7,-1.557,1.37,1.83,-0.4
1988-03-01,1988,MAR,FMA 1988,0.1,25.75,-0.85,27.07,-0.10,27.29,0.06,28.15,-0.07,0.4,-1.350,0.38,1.14,0.6
1988-04-01,1988,APR,MAM 1988,-0.3,24.66,-1.07,26.81,-0.76,27.26,-0.55,27.91,-0.60,0.2,-1.229,1.12,2.54,0.1
1988-05-01,1988,MAY,AMJ 1988,-0.9,23.48,-1.13,25.54,-1.67,26.56,-1.32,28.07,-0.72,0.6,-1.016,0.61,2.03,0.9
1988-06-01,1988,JUN,MJJ 1988,-1.3,21.58,-1.59,24.48,-2.16,26.01,-1.70,27.89,-0.95,0.9,-0.911,1.31,5.37,0.1
1988-07-01,1988,JUL,JJA 1988,-1.3,20.23,-1.60,23.79,-2.08,25.57,-1.73,27.79,-1.00,0.9,-0.771,1.60,4.18,1.0
1988-08-01,1988,AUG,JAS 1988,-1.1,19.19,-1.66,23.62,-1.60,25.47,-1.43,27.70,-0.99,1.1,-0.447,-0.62,4.26,1.5
1988-09-01,1988,SEP,ASO 1988,-1.2,19.06,-1.52,24.07,-0.94,25.83,-0.93,27.91,-0.77,1.1,0.274,-0.97,6.88,1.8
1988-10-01,1988,OCT,SON 1988,-1.5,19.35,-1.53,23.51,-1.58,24.76,-2.01,26.93,-1.75,0.8,0.875,0.89,6.71,1.4
1988-11-01,1988,NOV,OND 1988,-1.8,20.41,-1.22,23.38,-1.82,24.60,-2.22,26.81,-1.87,1.2,1.614,0.11,8.02,1.7
1988-12-01,1988,DEC,NDJ 1988,-1.9,21.67,-1.17,23.44,-1.82,24.63,-2.01,26.67,-1.78,1.6,2.362,0.33,4.24,1.2
1989-01-01,1989,JAN,DJF 1989,-1.7,24.04,-0.48,24.23,-1.45,24.56,-2.00,26.36,-1.86,1.7,2.629,-1.57,3.10,1.5
1989-02-01,1989,FEB,JFM 1989,-1.4,25.86,-0.23,25.42,-0.96,25.26,-1.48,26.63,-1.46,1.7,2.577,-1.71,3.28,1.2
1989-03-01,1989,MAR,FMA 1989,-1.1,26.60,0.00,25.93,-1.23,25.80,-1.44,26.97,-1.26,1.3,2.039,-1.56,3.89,1.1
1989-04-01,1989,APR,MAM 1989,-0.8,25.60,-0.13,26.51,-1.06,26.49,-1.32,27.41,-1.10,0.6,1.436,-0.77,2.04,1.6
1989-05-01,1989,MAY,AMJ 1989,-0.6,23.36,-1.25,26.31,-0.90,26.99,-0.89,28.10,-0.69,0.4,0.658,-0.04,9.63,1.2
1989-06-01,1989,JUN,MJJ 1989,-0.4,22.03,-1.15,26.25,-0.39,27.03,-0.67,27.79,-1.05,0.6,0.103,-0.56,10.35,0.7
1989-07-01,1989,JUL,JJA 1989,-0.3,21.14,-0.70,25.35,-0.52,26.73,-0.57,27.96,-0.83,0.4,-0.400,-0.59,6.43,0.9
1989-08-01,1989,AUG,JAS 1989,-0.3,20.35,-0.51,24.57,-0.65,26.18,-0.72,27.79,-0.91,0.5,-0.420,-0.27,7.79,-0.3
1989-09-01,1989,SEP,ASO 1989,-0.2,19.70,-0.88,24.61,-0.40,26.25,-0.51,28.13,-0.54,0.5,-0.404,0.41,8.18,0.5
1989-10-01,1989,OCT,SON 1989,-0.2,20.20,-0.68,24.52,-0.57,26.22,-0.55,28.14,-0.54,0.2,-0.559,-1.08,6.66,0.8
1989-11-01,1989,NOV,OND 1989,-0.2,21.19,-0.43,24.50,-0.70,26.21,-0.62,27.91,-0.76,-0.6,-0.839,-0.70,4.38,-0.2
1989-12-01,1989,DEC,NDJ 1989,-0.1,22.26,-0.58,24.76,-0.50,26.44,-0.20,28.30,-0.15,-0.2,-1.019,0.57,1.87,-0.5
1990-01-01,1990,JAN,DJF 1990,0.1,23.92,-0.60,25.27,-0.40,26.45,-0.11,28.20,-0.02,-1.0,-1.314,-1.09,3.52,-0.1
1990-02-01,1990,FEB,JFM 1990,0.2,25.66,-0.43,26.27,-0.11,26.74,0.01,28.27,0.18,-1.0,-1.647,-2.78,0.42,-1.8
1990-03-01,1990,MAR,FMA 1990,0.3,26.10,-0.50,26.67,-0.50,27.05,-0.18,28.36,0.13,-1.4,-1.634,0.04,0.62,-0.4
1990-04-01,1990,APR,MAM 1990,0.3,25.03,-0.70,27.36,-0.21,27.74,-0.06,28.67,0.16,-0.7,-1.573,-0.62,1.13,0.2
1990-05-01,1990,MAY,AMJ 1990,0.3,24.00,-0.61,27.24,0.03,27.92,0.04,28.64,-0.15,0.0,-1.714,0.27,5.54,1.2
1990-06-01,1990,JUN,MJJ 1990,0.3,22.77,-0.40,26.46,-0.18,27.44,-0.26,28.64,-0.20,0.1,-1.810,-1.39,6.50,0.3
1990-07-01,1990,JUL,JJA 1990,0.3,20.93,-0.90,25.72,-0.15,27.27,-0.03,28.68,-0.11,-0.2,-1.880,-0.26,5.10,0.5
1990-08-01,1990,AUG,JAS 1990,0.4,20.39,-0.47,25.16,-0.06,26.99,0.09,28.83,0.14,-0.7,-2.165,1.76,5.39,-0.2
1990-09-01,1990,SEP,ASO 1990,0.4,19.98,-0.60,25.00,-0.01,26.73,-0.03,28.76,0.08,-0.7,-2.399,-0.46,6.98,-0.7
1990-10-01,1990,OCT,SON 1990,0.4,20.08,-0.79,24.91,-0.17,26.95,0.18,28.96,0.28,-0.1,-2.380,-0.91,5.85,0.3
1990-11-01,1990,NOV,OND 1990,0.4,20.73,-0.90,24.84,-0.36,26.73,-0.09,28.82,0.15,-0.5,-2.437,-1.66,11.49,-0.5
1990-12-01,1990,DEC,NDJ 1990,0.4,22.12,-0.72,25.18,-0.08,26.86,0.22,28.84,0.39,-0.5,-2.357,-1.62,1.82,-0.2
1991-01-01,1991,JAN,DJF 1991,0.4,23.73,-0.78,25.63,-0.05,26.89,0.33,28.62,0.40,-0.4,-2.109,0.20,2.32,0.6
1991-02-01,1991,FEB,JFM 1991,0.3,25.70,-0.40,26.28,-0.10,26.87,0.14,28.40,0.30,-0.6,-2.090,1.13,1.62,0.3
1991-03-01,1991,MAR,FMA 1991,0.2,26.32,-0.28,26.96,-0.20,27.16,-0.08,28.38,0.15,-0.4,-2.002,-1.21,1.26,-0.7
1991-04-01,1991,APR,MAM 1991,0.3,25.21,-0.52,27.39,-0.19,27.89,0.08,28.73,0.22,0.0,-1.793,0.38,2.72,-0.6
1991-05-01,1991,MAY,AMJ 1991,0.5,24.65,0.04,27.44,0.22,28.13,0.25,29.18,0.39,-0.1,-1.766,-0.63,2.73,-1.0
1991-06-01,1991,JUN,MJJ 1991,0.6,23.07,-0.11,27.23,0.58,28.10,0.39,29.05,0.21,-0.2,-1.843,-0.92,6.22,-0.1
1991-07-01,1991,JUL,JJA 1991,0.7,22.06,0.23,26.43,0.56,27.77,0.47,28.95,0.17,-0.5,-1.672,0.28,7.78,0.0
1991-08-01,1991,AUG,JAS 1991,0.6,20.98,0.12,25.55,0.33,27.50,0.60,29.07,0.38,-1.0,-1.706,-0.28,5.76,-0.4
1991-09-01,1991,SEP,ASO 1991,0.6,20.72,0.14,25.12,0.11,27.07,0.31,28.85,0.17,-0.7,-1.655,1.15,3.13,-1.5
1991-10-01,1991,OCT,SON 1991,0.8,21.09,0.22,25.36,0.27,27.41,0.64,29.31,0.63,-0.6,-1.657,-2.35,7.23,-1.0
1991-11-01,1991,NOV,OND 1991,1.2,21.92,0.29,25.93,0.73,27.71,0.89,29.12,0.44,-2.5,-1.664,0.22,3.26,-0.7
1991-12-01,1991,DEC,NDJ 1991,1.5,23.13,0.29,26.30,1.03,28.14,1.50,29.21,0.77,-1.8,-1.625,0.17,1.17,-1.8
1992-01-01,1992,JAN,DJF 1992,1.7,24.59,0.07,26.86,1.18,28.23,1.67,28.80,0.58,-2.2,-1.363,0.99,0.76,-2.9
1992-02-01,1992,FEB,JFM 1992,1.6,26.25,0.15,27.34,0.96,28.28,1.55,28.76,0.67,-1.3,-0.945,0.09,0.28,-0.9
1992-03-01,1992,MAR,FMA 1992,1.5,27.38,0.78,27.87,0.71,28.39,1.16,28.83,0.60,-2.0,-0.480,0.46,0.16,-2.0
1992-04-01,1992,APR,MAM 1992,1.3,27.17,1.44,28.46,0.89,28.81,1.00,29.03,0.52,-1.6,-0.278,-0.29,0.20,-1.0
1992-05-01,1992,MAY,AMJ 1992,1.1,26.09,1.47,28.28,1.07,28.79,0.91,29.12,0.33,-1.8,-0.363,1.20,1.47,0.3
1992-06-01,1992,JUN,MJJ 1992,0.7,23.66,0.48,27.12,0.47,28.12,0.42,29.01,0.17,-1.0,-0.564,1.36,5.47,-0.6
1992-07-01,1992,JUL,JJA 1992,0.4,21.44,-0.39,25.65,-0.22,27.45,0.15,29.12,0.33,-0.4,-0.992,0.38,10.07,-0.6
1992-08-01,1992,AUG,JAS 1992,0.1,20.67,-0.18,24.98,-0.24,26.82,-0.08,28.65,-0.04,-0.2,-1.276,-0.37,4.46,0.4
1992-09-01,1992,SEP,ASO 1992,-0.1,20.37,-0.21,24.82,-0.19,26.60,-0.16,28.65,-0.03,0.0,-1.317,-1.13,4.52,0.1
1992-10-01,1992,OCT,SON 1992,-0.3,20.99,0.12,24.66,-0.42,26.27,-0.50,28.45,-0.24,-0.5,-1.219,0.40,7.74,-1.4
1992-11-01,1992,NOV,OND 1992,-0.3,21.37,-0.26,24.97,-0.23,26.64,-0.18,28.37,-0.30,-1.1,-1.146,0.80,2.64,-0.7
1992-12-01,1992,DEC,NDJ 1992,-0.1,22.41,-0.43,25.10,-0.17,26.78,0.14,28.48,0.03,-1.5,-0.878,-1.53,2.87,-0.6
1993-01-01,1993,JAN,DJF 1993,0.1,24.25,-0.27,25.66,-0.01,26.73,0.16,28.32,0.09,-0.7,-0.819,-1.48,1.90,-0.9
1993-02-01,1993,FEB,JFM 1993,0.3,26.12,0.03,26.69,0.31,27.07,0.34,28.10,0.00,-1.6,-0.668,0.44,5.75,-0.7
1993-03-01,1993,MAR,FMA 1993,0.5,26.84,0.23,27.38,0.22,27.46,0.23,28.29,0.07,-1.0,-0.417,0.94,1.83,-0.5
1993-04-01,1993,APR,MAM 1993,0.7,26.23,0.50,28.02,0.44,28.13,0.32,28.51,0.00,-2.0,-0.267,1.26,1.86,-1.2
1993-05-01,1993,MAY,AMJ 1993,0.7,25.16,0.54,28.05,0.84,28.53,0.65,28.79,0.00,-1.5,-0.481,2.43,1.27,-0.3
1993-06-01,1993,JUN,MJJ 1993,0.6,23.53,0.36,26.82,0.18,27.86,0.15,28.76,-0.08,-1.4,-0.629,0.66,3.52,-0.8
1993-07-01,1993,JUL,JJA 1993,0.3,22.06,0.23,26.04,0.17,27.51,0.22,28.80,0.02,-1.3,-0.854,-0.28,7.13,-0.8
1993-08-01,1993,AUG,JAS 1993,0.3,20.98,0.13,25.25,0.03,26.86,-0.04,28.67,-0.02,-0.6,-1.028,-0.17,6.73,-0.9
